timestamp,mac,rssi,frame
2024-02-14T11:17:46Z,12:E6:FB:3D:74:17,-84,QAAAAP///////xLm+z10F/////////DUAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgQ/6/wAA+v8AAP8cIwEICAAA
2024-02-14T11:17:46Z,12:E6:FB:3D:74:17,-83,QAAAAP///////xLm+z10F////////wDVAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgQ/6/wAA+v8AAP8cIwEICAAA
2024-02-14T11:17:47Z,92:2D:FA:1E:57:54,-81,QAAAAP///////5It+h5XVP///////6D1AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:48Z,92:2D:FA:1E:57:54,-80,QAAAAP///////5It+h5XVP///////8D1AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:50Z,52:C0:B6:1C:90:79,-90,QAAAAP///////1LAthyQef///////6B9AAABCAwSGCQwSGBsLRrvARP//wAAAAAAAAAAAAAAAAAAAAAAAAABAL8MsvmRM/r/YgP6/2ID3QcAUPIIACYAfwsAAAoCAEAAAAAB
2024-02-14T11:17:50Z,52:C0:B6:1C:90:79,-91,QAAAAP///////1LAthyQef///////7B9AAABCAwSGCQwSGBsLRrvARP//wAAAAAAAAAAAAAAAAAAAAAAAAABAL8MsvmRM/r/YgP6/2ID3QcAUPIIACYAfwsAAAoCAEAAAAAB
2024-02-14T11:17:50Z,52:C0:B6:1C:90:79,-90,QAAAAP///////1LAthyQef///////8B9AAABCAwSGCQwSGBsLRrvARP//wAAAAAAAAAAAAAAAAAAAAAAAAABAL8MsvmRM/r/YgP6/2ID3QcAUPIIACYAfwsAAAoCAEAAAAAB
2024-02-14T11:17:50Z,52:C0:B6:1C:90:79,-90,QAAAAP///////1LAthyQef///////9B9AAABCAwSGCQwSGBsLRrvARP//wAAAAAAAAAAAAAAAAAAAAAAAAABAL8MsvmRM/r/YgP6/2ID3QcAUPIIACYAfwsAAAoCAEAAAAAB
2024-02-14T11:17:51Z,52:C0:B6:1C:90:79,-80,QAAAAP///////1LAthyQef///////7DfAAABBAIECxYyCAwSGCQwSGBsAwEILRqtARP//wAAAAAAAAAAAAAAAAAAAAAAAAABAL8MkvmRM/r/YgP6/2ID3QcAUPIIACoAfwsA
2024-02-14T11:17:51Z,52:C0:B6:1C:90:79,-79,QAAAAP///////1LAthyQef///////9DfAAABBAIECxYyCAwSGCQwSGBsAwEILRqtARP//wAAAAAAAAAAAAAAAAAAAAAAAAABAL8MkvmRM/r/YgP6/2ID3QcAUPIIACoAfwsA
2024-02-14T11:17:55Z,B4:B6:76:26:16:37,-91,QAAAAP///////7S2diYWN////////xB7AAABCAIECxYMEhgkMgQwSGBsLRo8CRf//wAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
2024-02-14T11:17:55Z,9E:25:52:F0:46:1C,-83,QAAAAP///////54lUvBGHP///////2DmAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:55Z,9E:25:52:F0:46:1C,-82,QAAAAP///////54lUvBGHP///////4DmAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:56Z,5E:26:45:3E:FB:63,-71,QAAAAP///////14mRT77Y////////+DqAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:17:56Z,5E:26:45:3E:FB:63,-72,QAAAAP///////14mRT77Y////////9AUAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:17:59Z,32:4F:FB:BA:8C:80,-70,QAAAAP///////zJP+7qMgP///////yCAAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:17:59Z,32:4F:FB:BA:8C:80,-71,QAAAAP///////zJP+7qMgP///////zCAAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:18:00Z,5E:4B:66:EA:E4:03,-82,QAAAAP///////15LZurkA////////zDxAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgQ/6/wAA+v8AAP8cIwEICAAA
2024-02-14T11:18:00Z,5E:4B:66:EA:E4:03,-83,QAAAAP///////15LZurkA////////0DxAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgQ/6/wAA+v8AAP8cIwEICAAA
2024-02-14T11:18:02Z,D2:75:F8:68:51:28,-87,QAAAAP///////9J1+GhRKP////////BHAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:02Z,D2:75:F8:68:51:28,-85,QAAAAP///////9J1+GhRKP///////xBIAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:05Z,00:41:0E:A2:F3:69,-87,QAAAAP///////wBBDqLzaf///////4BmAAABCIKEi5YMEhgkMgQwSGBsLRpuGQMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEYFMgABAAB/CQAAAAAAAAAAAA==
2024-02-14T11:18:05Z,00:41:0E:A2:F3:69,-86,QAAAAP///////wBBDqLzaf///////5BmAAABCIKEi5YMEhgkMgQwSGBsLRpuGQMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEYFMgABAAB/CQAAAAAAAAAAAA==
2024-02-14T11:18:05Z,00:41:0E:A2:F3:69,-85,QAAAAP///////wBBDqLzaf///////6BmAAABCIKEi5YMEhgkMgQwSGBsLRpuGQMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEYFMgABAAB/CQAAAAAAAAAAAA==
2024-02-14T11:18:07Z,D2:7F:DB:4E:70:F8,-89,QAAAAP///////9J/205w+P///////zAtAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:07Z,D2:7F:DB:4E:70:F8,-88,QAAAAP///////9J/205w+P///////xDqAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:08Z,9A:38:EC:45:43:6F,-86,QAAAAP///////5o47EVDb////////5A+AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:08Z,9A:38:EC:45:43:6F,-85,QAAAAP///////5o47EVDb////////7A+AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:10Z,DE:35:14:81:9E:FD,-90,QAAAAP///////941FIGe/f///////9A5AAABCIKEi5YMEhgkMgQwSGBs3QcAUPIIABQAAwEI
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-81,QAAAAP///////3Jpzf8AoP///////wAaABFBbmRyb2lkU2hhcmVfMTYxMgEIgoSLlgwSGCQyBDBIYGzdBwBQ8ggAEwADAQg=
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-79,QAAAAP///////3Jpzf8AoP///////xAaAApMb29rIFN1cyA1AQiChIuWDBIYJDIEMEhgbN0HAFDyCAATAAMBCA==
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-80,QAAAAP///////3Jpzf8AoP///////yAaAARFTElUAQiChIuWDBIYJDIEMEhgbN0HAFDyCAATAAMBCA==
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-89,QAAAAP///////3Jpzf8AoP///////yAcAAtUUC1MSU5LIERWSwEIDBIYJDBIYGzdBwBQ8ggADgA=
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-89,QAAAAP///////3Jpzf8AoP///////zAcAAlEaW1pdHJpdXMBCAwSGCQwSGBs3QcAUPIIAA4A
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-90,QAAAAP///////3Jpzf8AoP///////0AcABFBbmRyb2lkU2hhcmVfMTYxMgEIDBIYJDBIYGzdBwBQ8ggADgA=
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-90,QAAAAP///////3Jpzf8AoP///////1AcAApMb29rIFN1cyA1AQgMEhgkMEhgbN0HAFDyCAAOAA==
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-89,QAAAAP///////3Jpzf8AoP///////2AcAARFTElUAQgMEhgkMEhgbN0HAFDyCAAOAA==
2024-02-14T11:18:17Z,72:69:CD:FF:00:A0,-91,QAAAAP///////3Jpzf8AoP///////3AcAAABCAwSGCQwSGBs3QcAUPIIAA4A
2024-02-14T11:18:23Z,8A:B9:0A:AB:92:F6,-90,QAAAAP///////4q5CquS9v///////8DiABNBbGVrc2FuZHJvdiBIYWxsXzVHAQSChIuWMggMEhgkMEhgbAMBCC0aLUAb//8AAAAAAAAAAAAAAAAAAAAAAAAAAAB/CAAACAQA
2024-02-14T11:18:24Z,DA:88:7A:F6:FE:FA,-91,QAAAAP///////9qIevb++v///////7B7AAABBAIECxYyCAwSGCQwSGBsAwEILRotQBf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8IAAAIhAAAAEBrBw////////8=
2024-02-14T11:18:32Z,B4:B5:B6:B2:37:CB,-89,QAAAAP///////7S1trI3y////////1BBAAABCIKEi5YMEhgkMgQwSGBsLRrvGQP//wAAAAAAAAAAAAAAAAAAAAAAAAAAAEYFMgABAAB/CQAAAAAAAAAAAA==
2024-02-14T11:18:32Z,C2:A2:E0:D6:3C:F5,-89,QAAAAP///////8Ki4NY89f///////zAAAANSU1MBBAIECxYyCAwSGCQwSGBsAwEILRotARP/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LBAAKAgAAAECAASC/DBJ5kTP+/4YB
2024-02-14T11:18:35Z,B4:B5:B6:B0:69:5F,-92,QAAAAP///////7S1trBpX/////////AKAAABCIKEi5YMEhgkMgQwSGBsLRrvGQIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEYFMgABAAB/CQAACAAAAAAAAA==
2024-02-14T11:18:37Z,86:20:F5:F4:11:42,-88,QAAAAP///////4Yg9fQRQv///////8BdAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgQ/6/wAA+v8AAP8cIwEICAAA
